sàị sài
chíb chín
nghả ngả
giắc rắc
gụi gũi
ghếch nghếch
ð đ
ngưạ ngựa
guơng gương
lià lìa
qụa quạ
liủ lửu
trốt lốc
đên đêm
muổi muỗi
lưả lửa
ddợi đợi
cỗng cõnguw
and anh
chịm chim
ầøu ầu
suôi xuôi
nhẹn lẹ
đụt đội
gới nhớ
xáx xác
thưà thừa
ngịch nghịch
chên trên
lám làm
rc nhổ
ngươừi người
lỏ lả
xanhh xanh
trốc chốc
xống xuống
trén tre
xứt sứt
cuả của
trơì trời
đơì đời
ngươì người
hoatv hoa
thiá thía
phêu phiêu
trờỉ trời
uớt ướt
giớ giới
luợn lượn
mơtv mơ
tnh thiên
bỗi bồi
đựoc được
dầụ dầu
ngối ngồi
dưởng dưỡng
dãu dẫu
dợt đợt
ngangmt ngang
vươnguu vương
ahì thành
trø cho
dươiù dưới
đòan đoàn
nàỵ này
mìh mình
chuyểt chuyển
non_ non
uớp ướp
thành
quuấn quấn
miệnng miệng
rôn rộn
vuì vùi
ứơp ướp
ùh dù
bín bím
quau cau
nguòi người
thuớt thướt
nươi nơi








